grade_id,enrollment_id,internal_marks,external_marks
232,232,14.9,33.5
233,233,18.9,32.9
234,234,24.0,46.5
235,235,21.4,56.2
236,236,19.2,45.6
237,237,13.6,29.9
238,238,22.0,55.4
239,239,22.4,41.9
240,240,27.6,54.5
241,241,25.7,57.1
242,242,24.2,60.3
243,243,22.4,54.7
244,244,30,59.6
245,245,28.9,44.6
246,246,21.7,54.7
247,247,19.8,59.0
248,248,23.5,62.2
249,249,19.8,58.9
250,250,23.2,54.9
251,251,28.6,54.5
252,252,20.6,66.8
253,253,20.4,26.0
254,254,24.0,48.4
255,255,18.0,25.6
256,256,16.4,51.4
257,257,16.8,53.6
258,258,23.3,51.4
259,259,13.6,34.8
260,260,15.4,23.5
261,261,24.0,48.3
262,262,22.4,41.0
263,263,15.3,54.3
264,264,21.3,40.0
265,265,14.0,39.4
266,266,22.5,42.1
267,267,23.0,56.1
268,268,18.8,37.1
269,269,24.4,37.4
270,270,19.3,47.4
271,271,21.2,36.3
272,272,15.8,41.9
273,273,8.7,35.5
274,274,19.7,34.8
275,275,13.9,24.2
276,276,17.8,28.3
277,277,21.0,43.0
278,278,21.6,48.6
279,279,22.4,21.0
280,280,15.5,45.1
281,281,14.7,36.6
282,282,14.7,22.7
283,283,13.1,22.8
284,284,5.9,13.6
285,285,14.6,33.6
286,286,6.3,36.0
287,287,15.8,30.1
288,288,21.4,38.9
289,289,19.1,26.2
290,290,13.0,25.5
291,291,9.3,19.2
292,292,14.0,21.4
293,293,0,17.6
294,294,6.9,26.2
295,295,19.9,31.1
296,296,19.9,23.8
297,297,23.8,43.5
298,298,21.9,26.7
299,299,14.1,26.5
300,300,21.6,41.5
301,301,21.6,34.3
302,302,13.1,51.0
303,303,24.6,43.3
304,304,19.8,37.6
305,305,18.0,57.7
306,306,18.6,18.8
307,307,23.6,38.1
308,308,23.3,34.5
309,309,13.1,28.8
310,310,18.3,43.7
311,311,17.1,52.7
312,312,17.6,31.4
313,313,15.8,32.9
314,314,24.1,46.5
315,315,20.9,25.7
316,316,22.4,50.7
317,317,20.5,40.8
318,318,12.7,58.6
319,319,14.8,18
320,320,19.4,27.0
321,321,14.4,48.7
322,322,21.5,41.0
323,323,20.0,24.6
324,324,14.0,18
325,325,20.0,43.0
326,326,26.3,39.7
327,327,15.9,26.3
328,328,25.1,27.7
329,329,20.3,28.5
330,330,19.8,32.9
331,331,15.7,50.0
332,332,17.7,37.3
333,333,25.4,40.0
334,334,19.9,21.5
335,335,24.6,37.5
336,336,17.4,31.7
337,337,25.9,53.7
338,338,26.0,58.4
339,339,21.0,68.7
340,340,25.0,64.9
341,341,26.8,59.2
342,342,23.2,54.9
343,343,27.0,63.6
344,344,27.1,47.5
345,345,29.1,57.8
346,346,22.0,45.3
347,347,22.7,48.7
348,348,23.1,70
349,349,26.5,45.0
350,350,25.9,56.1
351,351,12.5,32.7
352,352,16.6,27.2
353,353,9.9,24.7
354,354,13.6,35.5
355,355,12.8,37.5
356,356,24.0,23.0
357,357,14.2,30.5
358,358,8.8,25.1
359,359,18.7,21.0
360,360,11.7,23.4
361,361,4.3,10.9
362,362,2.8,17.6
363,363,17.3,8.1
364,364,12.9,19.9
365,365,23.2,45.3
366,366,21.5,27.6
367,367,20.2,43.3
368,368,15.4,36.6
369,369,15.8,33.9
370,370,25.1,43.8
371,371,16.7,39.3
372,372,24.9,57.8
373,373,14.7,48.6
374,374,15.0,33.4
375,375,18.1,31.8
376,376,14.9,51.0
377,377,20.9,24.6
378,378,16.4,35.5
379,379,21.7,52.4
380,380,22.6,52.1
381,381,20.6,50.0
382,382,16.7,43.5
383,383,23.6,28.3
384,384,13.9,38.5
385,385,15.6,38.6
386,386,22.1,35.2
387,387,17.0,35.8
388,388,16.3,37.5
389,389,17.3,25.3
390,390,13.9,41.6
391,391,17.8,52.7
392,392,22.2,33.9
393,393,20.6,38.9
394,394,15.3,26.2
395,395,20.5,33.0
396,396,22.6,50.5
397,397,19.3,54.9
398,398,18.1,37.5
399,399,18.6,35.5
400,400,24.1,40.4
401,401,11.2,52.9
402,402,16.4,40.9
403,403,16.5,53.0
404,404,17.3,34.1
405,405,21.1,36.8
406,406,20.0,38.9
407,407,27.9,34.6
408,408,24.2,40.8
409,409,16.4,63
410,410,9.6,40.9
411,411,16.4,41.3
412,412,21.3,49.4
413,413,22.6,40.8
414,414,22.6,57.6
415,415,21.2,29.3
416,416,17.8,34.4
417,417,17.7,46.8
418,418,19.6,56.7
419,419,16.9,55.2
420,420,15.5,27.4
421,421,22.1,59.6
422,422,20.4,42.3
423,423,26.4,70
424,424,16.4,60.9
425,425,23.0,40.2
426,426,27.3,44.5
427,427,21.4,53.6
428,428,26.3,53.3
429,429,26.1,63.3
430,430,27.0,49.0
431,431,18.6,56.1
432,432,21.6,57.4
433,433,28.1,57.8
434,434,20.6,62.8
435,435,24.4,57.1
436,436,28.4,54.3
437,437,25.7,58.4
438,438,27.8,53.5
439,439,29.5,43.9
440,440,23.2,45.6
441,441,23.4,49.7
442,442,23.8,57.3
443,443,25.3,35.6
444,444,24.4,47.8
445,445,25.0,61.5
446,446,29.5,50.7
447,447,26.1,48.2
448,448,25.4,58.1
449,449,18.8,29.9
450,450,19.2,22.7
451,451,21.9,39.7
452,452,12.9,31.9
453,453,19.7,60.4
454,454,19.6,48.3
455,455,16.0,32.5
456,456,28.0,35.9
457,457,19.8,31.5
458,458,21.3,47.8
459,459,19.2,47.1
460,460,22.0,19.2
461,461,24.0,37.4
462,462,19.1,46.7
463,463,19.5,52.1
464,464,22.1,61.7
465,465,26.9,66.0
466,466,19.0,56.8
467,467,25.5,54.7
468,468,24.9,43.3
469,469,24.1,48.3
470,470,23.9,60.1
471,471,23.5,50.2
472,472,27.5,49.7
473,473,27.5,51.5
474,474,23.0,53.1
475,475,24.5,70
476,476,24.4,59.4
477,477,9.9,32.5
478,478,19.4,28.5
479,479,12.7,44.0
480,480,22.2,49.7
481,481,11.4,37.1
482,482,19.4,29.7
483,483,21.1,42.4
484,484,17.6,41.0
485,485,18.6,38.5
486,486,23.9,40.9
487,487,26.3,42.0
488,488,22.0,19.4
489,489,16.1,38.9
490,490,18.9,49.4
491,491,22.8,56.3
492,492,22.7,42.6
493,493,25.1,51.9
494,494,24.0,54.2
495,495,30,61.7
496,496,19.6,49.4
497,497,26.9,52.5
498,498,24.1,70
499,499,24.3,54.3
500,500,28.9,52.8
501,501,23.8,63.6
502,502,23.3,47.2
503,503,26.2,44.6
504,504,24.9,48.6
505,505,8.6,19.5
506,506,18.4,26.3
507,507,9.3,28.6
508,508,16.6,40.2
509,509,14.6,19.7
510,510,16.5,30.9
511,511,12.1,29.3
512,512,5.1,30.8
513,513,17.6,30.5
514,514,10.8,24.6
515,515,5.8,17.5
516,516,17.4,22.8
517,517,21.3,3.5
518,518,13.7,27.6
519,519,26.1,58.4
520,520,23.4,66.6
521,521,29.5,51.2
522,522,22.5,49.8
523,523,28.0,55.3
524,524,25.9,49.1
525,525,27.4,42.3
526,526,23.7,64.0
527,527,22.0,70
528,528,24.6,45.1
529,529,23.9,60.0
530,530,27.9,60.9
531,531,27.2,65.8
532,532,26.9,53.3
533,533,17.0,34.5
534,534,17.5,22.8
535,535,23.6,39.3
536,536,26.2,30.7
537,537,20.0,30.9
538,538,21.3,44.8
539,539,21.8,51.9
540,540,22.5,38.1
541,541,20.4,42.8
542,542,18.9,27.2
543,543,15.2,43.3
544,544,27.1,63
545,545,16.5,61.6
546,546,22.2,25.9
547,547,22.2,54.1
548,548,24.4,47.4
549,549,29.5,58.1
550,550,22.3,46.6
551,551,21.2,54.1
552,552,22.0,58.5
553,553,26.7,64.2
554,554,29.1,56.8
555,555,22.5,51.2
556,556,24.2,65.7
557,557,29.9,63.5
558,558,23.5,61.9
559,559,27.4,48.5
560,560,21.6,49.5
561,561,13.6,27.7
562,562,23.7,33.5
563,563,17.9,46.8
564,564,17.5,43.9
565,565,14.7,32.6
566,566,14.1,41.0
567,567,14.6,36.1
568,568,17.3,50.1
569,569,23.4,36.6
570,570,23.6,37.3
571,571,17.3,30.5
572,572,17.3,40.3
573,573,18.2,47.7
574,574,21.2,49.6
575,575,16.2,36.5
576,576,12.5,35.6
577,577,8.0,31.3
578,578,14.5,63
579,579,14.7,55.0
580,580,19.5,32.7
581,581,22.5,29.5
582,582,13.8,28.3
583,583,20.8,27.8
584,584,17.0,36.5
585,585,18.2,47.6
586,586,25.0,38.6
587,587,25.8,35.9
588,588,27.0,39.1
589,589,24.0,59.7
590,590,27.7,62.7
591,591,24.2,57.0
592,592,22.6,54.4
593,593,27.5,53.1
594,594,24.6,47.3
595,595,25.9,48.2
596,596,22.4,55.2
597,597,23.5,53.9
598,598,29.0,47.7
599,599,21.0,45.5
600,600,26.6,53.2
601,601,28.2,54.6
602,602,23.0,68.5
603,603,28.9,60.1
604,604,29.0,58.1
605,605,22.4,46.0
606,606,23.4,55.5
607,607,24.8,54.1
608,608,28.1,54.5
609,609,27.7,58.0
610,610,22.6,68.3
611,611,25.7,43.4
612,612,26.7,54.8
613,613,29.3,55.5
614,614,24.3,45.3
615,615,22.6,50.0
616,616,26.3,52.7
617,617,18.1,45.0
618,618,19.1,53.6
619,619,20.1,24.9
620,620,20.5,53.1
621,621,18.6,43.2
622,622,17.0,40.2
623,623,8.1,35.1
624,624,24.4,54.6
625,625,15.0,51.3
626,626,25.6,35.2
627,627,21.8,40.6
628,628,22.8,36.8
629,629,19.5,29.6
630,630,15.8,30.4
631,631,23.0,54.7
632,632,23.2,63.2
633,633,23.4,50.3
634,634,26.2,56.1
635,635,21.1,57.8
636,636,24.7,43.5
637,637,23.8,44.5
638,638,28.5,52.5
639,639,21.5,63.4
640,640,25.1,53.3
641,641,22.7,54.2
642,642,27.9,58.6
643,643,21.1,55.0
644,644,25.0,58.3
645,645,24.1,54.9
646,646,27.7,56.9
647,647,30,49.2
648,648,22.7,58.0
649,649,24.8,57.8
650,650,18.5,54.8
651,651,27.8,36.4
652,652,29.3,45.2
653,653,27.8,59.0
654,654,23.6,66.8
655,655,21.1,57.1
656,656,24.6,46.2
657,657,28.1,55.3
658,658,21.7,66.0
659,659,18.7,35.4
660,660,10.1,52.3
661,661,26.5,52.4
662,662,11.7,51.0
663,663,14.9,34.2
664,664,23.6,45.9
665,665,19.3,47.8
666,666,17.0,24.5
667,667,18.8,43.9
668,668,20.0,27.0
669,669,21.3,49.6
670,670,8.9,34.2
671,671,17.9,47.3
672,672,22.3,52.7
673,673,26.9,57.9
674,674,20.5,54.1
675,675,28.0,56.4
676,676,25.0,49.7
677,677,25.5,51.4
678,678,29.1,37.6
679,679,26.3,49.0
680,680,28.4,59.7
681,681,27.0,54.9
682,682,25.5,52.1
683,683,28.2,57.1
684,684,20.6,59.6
685,685,22.7,60.0
686,686,27.0,51.9
687,687,21.8,48.2
688,688,27.5,49.6
689,689,22.7,59.9
690,690,25.1,70
691,691,30,54.2
692,692,21.7,52.8
693,693,24.0,60.0
694,694,24.4,54.0
695,695,26.2,47.6
696,696,30,55.0
697,697,23.7,50.4
698,698,17.4,45.9
699,699,30,46.4
700,700,25.2,61.1
701,701,21.4,51.5
702,702,23.2,53.9
703,703,28.8,58.3
704,704,22.3,55.9
705,705,26.0,49.0
706,706,26.6,56.4
707,707,28.4,43.6
708,708,23.8,45.1
709,709,23.6,60.3
710,710,27.0,37.8
711,711,28.6,70
712,712,25.7,64.2
713,713,23.4,65.0
714,714,24.0,38.1
715,715,19.6,45.5
716,716,24.1,52.5
717,717,24.4,57.5
718,718,28.1,67.7
719,719,21.0,43.8
720,720,24.8,60.3
721,721,24.9,58.3
722,722,21.3,62.5
723,723,22.1,55.3
724,724,27.8,59.8
725,725,25.1,50.0
726,726,25.2,53.3
727,727,24.9,58.3
728,728,26.4,52.3
729,729,24.0,26.0
730,730,16.8,25.9
731,731,18.2,31.0
732,732,11.4,12.9
733,733,11.8,20.9
734,734,9.1,35.9
735,735,13.5,25.3
736,736,16.2,12.5
737,737,15.9,28.9
738,738,10.7,25.8
739,739,4.9,23.0
740,740,8.5,28.3
741,741,11.9,21.8
742,742,10.5,36
743,743,15.4,24.2
744,744,11.8,33.7
745,745,14.7,46.1
746,746,16.4,36.8
747,747,12.8,52.0
748,748,14.7,34.8
749,749,23.9,51.5
750,750,26.2,36.8
751,751,8.4,53.8
752,752,24.6,39.8
753,753,16.3,54.6
754,754,23.4,46.6
755,755,22.0,30.5
756,756,20.3,26.4
757,757,27.4,62.5
758,758,23.7,53.8
759,759,29.5,45.2
760,760,22.8,47.5
761,761,26.4,61.3
762,762,23.7,48.6
763,763,24.7,52.9
764,764,25.5,54.1
765,765,24.3,63.0
766,766,30,69.2
767,767,24.6,62.2
768,768,25.8,59.5
769,769,25.4,41.0
770,770,25.3,52.5
771,771,26.9,55.8
772,772,25.0,62.7
773,773,24.2,67.9
774,774,24.0,52.3
775,775,22.2,61.8
776,776,22.6,51.6
777,777,25.0,44.3
778,778,23.6,57.7
779,779,27.7,47.1
780,780,22.9,48.2
781,781,28.7,49.7
782,782,25.7,64.5
783,783,24.0,69.7
784,784,25.0,62.8
785,785,28.0,41.8
786,786,14.0,34.9
787,787,17.2,29.5
788,788,14.0,24.6
789,789,20.8,51.2
790,790,21.5,23.1
791,791,15.8,27.2
792,792,11.3,18
793,793,13.6,49.2
794,794,15.5,53.2
795,795,24.0,31.7
796,796,23.3,24.2
797,797,17.8,50.9
798,798,18.2,27.4
799,799,27.4,58.5
800,800,25.6,48.9
801,801,23.4,68.1
802,802,27.7,48.1
803,803,23.1,55.8
804,804,23.1,59.0
805,805,26.3,58.6
806,806,30,42.2
807,807,26.2,51.6
808,808,20.6,70
809,809,28.1,57.7
810,810,23.4,53.1
811,811,21.8,48.5
812,812,27.9,53.5
813,813,28.9,47.6
814,814,25.3,55.1
815,815,24.0,49.0
816,816,22.0,61.2
817,817,26.1,49.7
818,818,24.4,45.7
819,819,30,40.1
820,820,23.8,58.5
821,821,25.7,66.2
822,822,24.6,45.7
823,823,22.1,62.5
824,824,26.6,51.2
825,825,30,61.8
826,826,25.5,53.1
827,827,14.7,36.7
828,828,17.1,26.7
829,829,15.9,27.5
830,830,11.5,50.4
831,831,17.6,57.2
832,832,13.6,29.0
833,833,22.7,38.4
834,834,21.7,50.7
835,835,17.3,29.4
836,836,20.7,40.3
837,837,20.0,43.5
838,838,18.7,35.4
839,839,8.4,47.4
840,840,26.0,45.7
841,841,23.1,65.6
842,842,26.6,55.2
843,843,22.0,68.1
844,844,26.0,52.9
845,845,27.3,59.6
846,846,27.4,45.8
847,847,21.8,44.9
848,848,24.7,52.7
849,849,21.5,59.7
850,850,21.2,58.6
851,851,29.5,56.9
852,852,26.3,53.4
853,853,27.2,56.6
854,854,23.7,44.9
855,855,12.9,37.8
856,856,17.4,33.6
857,857,23.5,55.0
858,858,28.0,41.7
859,859,23.8,23.8
860,860,17.5,48.1
861,861,13.9,39.4
862,862,19.7,36.3
863,863,23.0,46.2
864,864,25.6,38.0
865,865,18.1,41.5
866,866,22.3,24.3
867,867,23.0,31.8
868,868,22.6,37.1
869,869,25.4,45.6
870,870,28.8,62.8
871,871,21.9,66.1
872,872,20.4,53.5
873,873,19.4,55.6
874,874,24.9,59.6
875,875,26.2,67.8
876,876,27.4,59.5
877,877,20.6,48.6
878,878,20.9,40.3
879,879,29.9,55.3
880,880,26.8,48.2
881,881,24.3,51.0
882,882,21.9,61.2
883,883,29.4,49.0
884,884,30,50.8
885,885,27.6,62.3
886,886,27.1,47.6
887,887,23.6,51.5
888,888,22.4,40.5
889,889,26.9,54.3
890,890,24.3,58.1
891,891,21.1,56.1
892,892,24.9,41.6
893,893,26.3,47.1
894,894,27.7,63.3
895,895,25.0,50.9
896,896,25.0,68.4
897,897,25.5,52.0
898,898,24.8,46.0
899,899,26.1,42.8
900,900,27.8,57.0
901,901,23.5,63.2
902,902,26.8,68.5
903,903,29.0,49.2
904,904,25.1,46.2
905,905,26.3,37.2
906,906,27.0,64.5
907,907,24.9,51.5
908,908,24.6,60.4
909,909,25.2,54.4
910,910,30,59.0
911,911,23.3,66.7
912,912,29.2,59.9
913,913,28.5,52.7
914,914,21.8,59.4
915,915,25.4,59.8
916,916,23.6,58.8
917,917,21.2,56.4
918,918,27.1,59.3
919,919,21.8,48.6
920,920,27.2,50.5
921,921,24.8,66.2
922,922,26.3,48.9
923,923,22.5,55.5
924,924,24.5,57.6
925,925,17.1,35.1
926,926,21.8,32.1
927,927,12.9,36.3
928,928,13.3,21.1
929,929,25.3,42.4
930,930,21.2,42.8
931,931,16.4,36.7
932,932,14.7,49.1
933,933,24.9,41.6
934,934,15.5,29.2
935,935,18.5,36.3
936,936,24.5,50.9
937,937,17.2,62.4
938,938,19.4,37.8
939,939,23.8,64.5
940,940,30,43.2
941,941,25.4,54.7
942,942,25.2,55.5
943,943,17.9,51.1
944,944,24.9,39.9
945,945,21.3,60.3
946,946,26.1,59.2
947,947,28.4,61.9
948,948,29.1,41.9
949,949,24.3,52.8
950,950,28.9,61.5
951,951,22.2,63.2
952,952,24.8,57.6
953,953,16.5,34.3
954,954,15.5,36.2
955,955,20.7,47.6
956,956,17.7,26.1
957,957,23.3,52.1
958,958,15.3,42.2
959,959,16.6,38.0
960,960,23.3,23.4
961,961,18.3,60.8
962,962,25.1,27.8
963,963,21.0,27.9
964,964,23.2,33.0
965,965,17.7,35.3
966,966,23.1,31.6
967,967,9.0,27.3
968,968,8.9,11.4
969,969,15.9,32.5
970,970,13.5,16.5
971,971,15.1,39.3
972,972,13.0,30.2
973,973,17.1,19.8
974,974,14.1,23.1
975,975,11.4,13.4
976,976,7.4,18.8
977,977,7.4,32.9
978,978,12.1,39
979,979,3.6,29.3
980,980,14.1,0
981,981,25.5,63.3
982,982,26.0,58.3
983,983,23.4,48.9
984,984,21.6,55.9
985,985,28.0,66.2
986,986,28.8,57.4
987,987,24.4,53.6
988,988,27.2,56.9
989,989,28.9,52.5
990,990,29.8,56.3
991,991,25.9,64.4
992,992,27.7,66.6
993,993,26.5,42.5
994,994,23.7,50.4
995,995,14.6,37.8
996,996,16.9,45
997,997,17.2,15.9
998,998,19.5,20.2
999,999,14.0,23.6
1000,1000,19.0,9.2
1001,1001,4.1,34.7
1002,1002,14.3,42
1003,1003,6.1,16.3
1004,1004,9.7,28.5
1005,1005,10.1,39
1006,1006,15.1,36.6
1007,1007,11.7,19.8
1008,1008,9.3,21.6
1009,1009,13.9,34.6
1010,1010,19.1,29.7
1011,1011,21.2,51.5
1012,1012,24.2,39.1
1013,1013,18.3,20.4
1014,1014,18.9,29.1
1015,1015,22.9,47.0
1016,1016,20.7,26.9
1017,1017,24.5,61.9
1018,1018,21.0,29.9
1019,1019,21.7,44.1
1020,1020,14.0,29.8
1021,1021,15.3,32.0
1022,1022,26.0,33.8
1023,1023,24.5,21.4
1024,1024,21.4,56.5
1025,1025,17.2,26.9
1026,1026,15.3,51.3
1027,1027,26.0,39.7
1028,1028,16.8,43.7
1029,1029,23.4,33.9
1030,1030,14.8,55.0
1031,1031,15.1,42.9
1032,1032,21.2,50.6
1033,1033,15.4,39.8
1034,1034,26.9,34.5
1035,1035,15.4,18
1036,1036,19.8,23.3
1037,1037,17.7,19.3
1038,1038,7.5,39.9
1039,1039,15.6,18.2
1040,1040,6.4,24.5
1041,1041,12.8,37.8
1042,1042,11.0,25.9
1043,1043,14.4,37.8
1044,1044,9.8,25.0
1045,1045,14.0,31.5
1046,1046,14.4,28.9
1047,1047,5.8,10.9
1048,1048,15.0,14.1
1049,1049,19.6,6.7
1050,1050,0,20.7
1051,1051,12.5,26.5
1052,1052,15.2,27.0
1053,1053,19.5,14.7
1054,1054,12.2,17.5
1055,1055,11.8,19.3
1056,1056,7.6,43.2
1057,1057,12.8,32.9
1058,1058,15.2,34.6
1059,1059,9.8,32.6
1060,1060,0.6,12.9
1061,1061,10.6,4.2
1062,1062,14.2,16.8
1063,1063,12.4,13.1
1064,1064,21.0,18.5
1065,1065,25.0,68.8
1066,1066,26.5,57.4
1067,1067,20.8,56.4
1068,1068,24.8,61.6
1069,1069,23.3,61.0
1070,1070,26.9,53.9
1071,1071,23.9,51.5
1072,1072,23.4,62.5
1073,1073,23.2,58.9
1074,1074,27.9,47.6
1075,1075,22.3,48.3
1076,1076,26.1,59.3
1077,1077,24.4,60.3
1078,1078,24.6,62.5
1079,1079,22.9,57.0
1080,1080,14.0,19.8
1081,1081,20.0,49.8
1082,1082,23.2,35.6
1083,1083,19.6,27.9
1084,1084,18.8,45.8
1085,1085,17.9,47.0
1086,1086,17.5,36.2
1087,1087,24.8,42.6
1088,1088,22.0,31.5
1089,1089,16.9,38.4
1090,1090,15.3,34.0
1091,1091,13.3,37.9
1092,1092,16.1,40.8
1093,1093,18.8,48.5
1094,1094,22.1,22.2
1095,1095,18.5,40.2
1096,1096,23.3,36.3
1097,1097,20.6,27.1
1098,1098,16.5,38.1
1099,1099,17.1,43.7
1100,1100,20.3,33.8
1101,1101,15.6,31.5
1102,1102,17.6,56.1
1103,1103,12.3,50.2
1104,1104,17.6,53.8
1105,1105,18.2,53.8
1106,1106,20.3,40.4
1107,1107,24.4,66.0
1108,1108,25.4,55.6
1109,1109,20.4,60.9
1110,1110,19.8,57.8
1111,1111,29.1,40.7
1112,1112,25.2,52.3
1113,1113,27.0,67.6
1114,1114,28.7,63.3
1115,1115,25.4,47.5
1116,1116,20.0,57.9
1117,1117,28.4,54.1
1118,1118,27.6,64.5
1119,1119,27.5,60.6
1120,1120,24.4,56.8
1121,1121,30,56.2
1122,1122,23.2,58.2
1123,1123,25.7,47.2
1124,1124,24.1,57.2
1125,1125,28.5,60.3
1126,1126,29.0,58.7
1127,1127,26.5,58.6
1128,1128,25.2,42.3
1129,1129,27.9,55.9
1130,1130,27.8,50.2
1131,1131,23.7,65.4
1132,1132,26.1,61.0
1133,1133,27.7,48.0
1134,1134,26.6,56.7
1135,1135,29.3,55.0
1136,1136,28.1,48.5
1137,1137,25.3,66.2
1138,1138,26.7,64.9
1139,1139,23.0,51.0
1140,1140,27.8,60.4
1141,1141,25.8,51.8
1142,1142,26.5,57.8
1143,1143,23.1,49.6
1144,1144,22.1,48.4
1145,1145,25.9,65.9
