attendance_id,enrollment_id,total_classes,classes_attended
607,607,90,78
608,608,84,84
609,609,83,78
610,610,84,84
611,611,84,84
612,612,96,93
613,613,94,86
614,614,84,84
615,615,86,77
616,616,83,83
617,617,73,60
618,618,88,73
619,619,92,74
620,620,71,71
621,621,93,70
622,622,80,59
623,623,76,75
624,624,83,81
625,625,89,85
626,626,65,59
627,627,94,58
628,628,74,74
629,629,77,60
630,630,69,69
631,631,84,84
632,632,100,96
633,633,93,82
634,634,93,78
635,635,89,89
636,636,83,75
637,637,85,85
638,638,88,80
639,639,88,78
640,640,93,83
641,641,98,95
642,642,91,76
643,643,91,80
644,644,98,96
645,645,80,80
646,646,84,80
647,647,97,95
648,648,93,85
649,649,91,78
650,650,85,82
651,651,92,77
652,652,89,85
653,653,91,81
654,654,99,82
655,655,95,81
656,656,87,79
657,657,87,87
658,658,80,80
659,659,81,70
660,660,69,69
661,661,93,88
662,662,79,60
663,663,85,80
664,664,78,63
665,665,75,75
666,666,75,75
667,667,71,63
668,668,69,61
669,669,78,62
670,670,71,71
671,671,68,60
672,672,91,57
673,673,91,87
674,674,88,80
675,675,94,92
676,676,94,78
677,677,80,76
678,678,84,81
679,679,100,95
680,680,82,75
681,681,100,89
682,682,90,78
683,683,85,85
684,684,95,75
685,685,91,81
686,686,94,79
687,687,95,88
688,688,82,82
689,689,100,91
690,690,97,75
691,691,91,90
692,692,98,91
693,693,80,80
694,694,88,76
695,695,91,91
696,696,83,82
697,697,81,81
698,698,92,86
699,699,85,80
700,700,91,91
701,701,86,86
702,702,81,77
703,703,80,80
704,704,99,81
705,705,85,85
706,706,84,78
707,707,82,82
708,708,98,78
709,709,85,85
710,710,100,85
711,711,99,86
712,712,85,85
713,713,84,80
714,714,98,87
715,715,99,82
716,716,95,79
717,717,91,85
718,718,82,82
719,719,94,75
720,720,82,82
721,721,80,76
722,722,85,85
723,723,97,87
724,724,98,95
725,725,94,77
726,726,80,80
727,727,90,80
728,728,82,82
729,729,41,41
730,730,67,45
731,731,52,52
732,732,74,51
733,733,46,38
734,734,71,44
735,735,45,45
736,736,70,47
737,737,58,40
738,738,65,65
739,739,45,45
740,740,64,58
741,741,68,64
742,742,76,38
743,743,78,69
744,744,91,88
745,745,92,85
746,746,74,60
747,747,66,66
748,748,83,64
749,749,70,65
750,750,69,57
751,751,78,67
752,752,91,71
753,753,90,59
754,754,82,75
755,755,94,55
756,756,81,81
757,757,83,78
758,758,89,89
759,759,88,87
760,760,95,76
761,761,99,94
762,762,92,85
763,763,95,83
764,764,89,84
765,765,83,82
766,766,94,85
767,767,100,77
768,768,93,90
769,769,81,81
770,770,96,87
771,771,86,76
772,772,91,81
773,773,96,87
774,774,80,80
775,775,85,85
776,776,85,83
777,777,89,75
778,778,98,81
779,779,86,83
780,780,80,80
781,781,99,75
782,782,89,89
783,783,91,89
784,784,96,94
785,785,95,78
786,786,74,74
787,787,75,72
788,788,73,73
789,789,72,58
790,790,84,80
791,791,88,56
792,792,73,73
793,793,83,67
794,794,86,85
795,795,81,74
796,796,93,66
797,797,88,71
798,798,94,66
799,799,89,88
800,800,88,88
801,801,95,76
802,802,99,77
803,803,83,83
804,804,81,79
805,805,93,93
806,806,84,84
807,807,82,82
808,808,90,90
809,809,86,80
810,810,82,79
811,811,92,88
812,812,81,81
813,813,96,81
814,814,87,82
815,815,84,78
816,816,85,77
817,817,89,89
818,818,90,88
819,819,90,90
820,820,92,75
821,821,84,81
822,822,85,78
823,823,81,81
824,824,97,94
825,825,83,83
826,826,83,83
827,827,69,68
828,828,74,74
829,829,73,63
830,830,81,62
831,831,80,67
832,832,91,88
833,833,78,73
834,834,94,68
835,835,72,55
836,836,68,68
837,837,81,59
838,838,73,69
839,839,73,73
840,840,92,57
841,841,83,76
842,842,100,80
843,843,99,83
844,844,90,80
845,845,94,83
846,846,95,88
847,847,83,79
848,848,85,78
849,849,98,96
850,850,91,91
851,851,84,84
852,852,93,89
853,853,90,75
854,854,98,93
855,855,68,68
856,856,76,76
857,857,93,58
858,858,81,81
859,859,67,67
860,860,73,58
861,861,77,77
862,862,79,79
863,863,75,62
864,864,65,61
865,865,82,55
866,866,95,74
867,867,85,84
868,868,66,66
869,869,91,89
870,870,87,75
871,871,89,89
872,872,81,80
873,873,93,78
874,874,83,83
875,875,86,85
876,876,100,96
877,877,94,89
878,878,84,84
879,879,97,88
880,880,96,80
881,881,84,78
882,882,90,90
883,883,88,87
884,884,94,79
885,885,96,84
886,886,90,90
887,887,99,84
888,888,84,84
889,889,97,95
890,890,91,91
891,891,93,93
892,892,89,88
893,893,80,80
894,894,86,83
895,895,89,89
896,896,89,81
897,897,97,82
898,898,87,87
899,899,89,89
900,900,93,93
901,901,80,80
902,902,94,82
903,903,100,86
904,904,99,81
905,905,89,89
906,906,85,80
907,907,81,81
908,908,85,85
909,909,94,79
910,910,99,76
911,911,97,86
912,912,96,82
913,913,96,80
914,914,82,82
915,915,90,85
916,916,99,91
917,917,100,75
918,918,87,87
919,919,81,81
920,920,83,83
921,921,80,80
922,922,96,89
923,923,100,81
924,924,83,80
925,925,85,68
926,926,68,68
927,927,88,82
928,928,88,64
929,929,66,60
930,930,73,59
931,931,73,73
932,932,78,75
933,933,82,55
934,934,89,57
935,935,94,87
936,936,74,60
937,937,77,77
938,938,70,69
939,939,89,89
940,940,100,86
941,941,97,79
942,942,99,87
943,943,89,81
944,944,91,81
945,945,96,79
946,946,88,81
947,947,98,76
948,948,97,89
949,949,82,82
950,950,95,85
951,951,87,78
952,952,86,85
953,953,83,64
954,954,75,75
955,955,90,69
956,956,73,73
957,957,93,85
958,958,74,74
959,959,84,60
960,960,69,67
961,961,67,59
962,962,85,56
963,963,89,68
964,964,82,82
965,965,77,69
966,966,92,73
967,967,72,35
968,968,50,50
969,969,76,44
970,970,62,37
971,971,44,44
972,972,53,53
973,973,70,64
974,974,60,41
975,975,57,51
976,976,64,59
977,977,44,44
978,978,54,54
979,979,62,62
980,980,40,40
981,981,88,81
982,982,99,78
983,983,90,78
984,984,86,86
985,985,80,80
986,986,85,79
987,987,98,79
988,988,85,85
989,989,98,95
990,990,89,77
991,991,95,90
992,992,99,79
993,993,85,85
994,994,90,89
995,995,46,36
996,996,72,61
997,997,51,51
998,998,74,67
999,999,48,48
1000,1000,67,67
1001,1001,73,62
1002,1002,64,57
1003,1003,76,41
1004,1004,54,40
1005,1005,66,51
1006,1006,40,40
1007,1007,53,53
1008,1008,67,51
1009,1009,86,80
1010,1010,90,85
1011,1011,80,71
1012,1012,89,80
1013,1013,86,62
1014,1014,87,65
1015,1015,90,76
1016,1016,86,58
1017,1017,65,60
1018,1018,84,82
1019,1019,76,60
1020,1020,94,80
1021,1021,87,58
1022,1022,85,85
1023,1023,81,73
1024,1024,81,81
1025,1025,86,57
1026,1026,70,60
1027,1027,76,76
1028,1028,65,59
1029,1029,88,77
1030,1030,72,67
1031,1031,65,65
1032,1032,82,59
1033,1033,68,68
1034,1034,91,71
1035,1035,83,83
1036,1036,95,84
1037,1037,56,39
1038,1038,54,49
1039,1039,62,62
1040,1040,56,50
1041,1041,61,39
1042,1042,60,57
1043,1043,51,47
1044,1044,55,51
1045,1045,55,55
1046,1046,45,45
1047,1047,74,37
1048,1048,60,60
1049,1049,76,52
1050,1050,72,52
1051,1051,67,65
1052,1052,62,60
1053,1053,69,42
1054,1054,40,35
1055,1055,46,46
1056,1056,51,51
1057,1057,61,58
1058,1058,66,58
1059,1059,68,46
1060,1060,54,41
1061,1061,75,62
1062,1062,49,49
1063,1063,71,43
1064,1064,73,69
1065,1065,81,81
1066,1066,86,83
1067,1067,94,85
1068,1068,97,83
1069,1069,91,91
1070,1070,98,95
1071,1071,89,86
1072,1072,94,77
1073,1073,100,79
1074,1074,90,88
1075,1075,82,77
1076,1076,90,90
1077,1077,100,87
1078,1078,91,91
1079,1079,69,69
1080,1080,87,60
1081,1081,68,59
1082,1082,66,56
1083,1083,67,61
1084,1084,85,79
1085,1085,74,74
1086,1086,91,65
1087,1087,92,75
1088,1088,92,72
1089,1089,95,66
1090,1090,88,82
1091,1091,74,74
1092,1092,67,67
1093,1093,65,65
1094,1094,76,73
1095,1095,94,86
1096,1096,65,65
1097,1097,90,55
1098,1098,93,82
1099,1099,88,79
1100,1100,67,67
1101,1101,90,72
1102,1102,90,72
1103,1103,70,63
1104,1104,84,83
1105,1105,71,71
1106,1106,82,56
1107,1107,80,80
1108,1108,86,85
1109,1109,95,86
1110,1110,90,77
1111,1111,81,81
1112,1112,95,80
1113,1113,92,75
1114,1114,87,87
1115,1115,81,81
1116,1116,96,96
1117,1117,89,85
1118,1118,97,91
1119,1119,89,81
1120,1120,86,78
1121,1121,98,78
1122,1122,81,81
1123,1123,99,79
1124,1124,85,85
1125,1125,100,76
1126,1126,97,78
1127,1127,97,95
1128,1128,94,81
1129,1129,84,83
1130,1130,94,92
1131,1131,86,86
1132,1132,94,83
1133,1133,97,80
1134,1134,89,83
1135,1135,92,80
1136,1136,91,91
1137,1137,97,87
1138,1138,97,79
1139,1139,100,85
1140,1140,82,76
1141,1141,81,81
1142,1142,81,81
1143,1143,95,91
1144,1144,81,81
1145,1145,80,80
1146,1146,82,82
1147,1147,97,88
1148,1148,81,81
1149,1149,44,44
1150,1150,54,54
1151,1151,55,46
1152,1152,46,46
1153,1153,67,41
1154,1154,65,65
1155,1155,78,63
1156,1156,75,55
1157,1157,67,55
1158,1158,53,53
1159,1159,56,56
1160,1160,65,35
1161,1161,78,36
1162,1162,59,35
1163,1163,91,72
1164,1164,83,64
1165,1165,69,63
1166,1166,72,69
1167,1167,83,80
1168,1168,67,67
1169,1169,91,61
1170,1170,88,79
1171,1171,89,76
1172,1172,78,62
1173,1173,85,55
1174,1174,66,66
1175,1175,83,64
1176,1176,69,58
1177,1177,67,67
1178,1178,69,63
1179,1179,88,58
1180,1180,77,77
1181,1181,89,63
1182,1182,77,67
1183,1183,81,70
1184,1184,78,75
1185,1185,68,68
1186,1186,75,75
1187,1187,74,65
1188,1188,90,83
1189,1189,94,69
1190,1190,89,60
1191,1191,58,35
1192,1192,59,59
1193,1193,74,48
1194,1194,56,56
1195,1195,49,36
1196,1196,73,37
1197,1197,52,52
1198,1198,40,39
1199,1199,63,41
1200,1200,64,49
1201,1201,46,46
1202,1202,45,45
1203,1203,75,36
1204,1204,59,56
1205,1205,76,76
1206,1206,81,72
1207,1207,93,79
1208,1208,65,65
1209,1209,77,63
1210,1210,95,69
1211,1211,78,74
1212,1212,82,63
1213,1213,82,67
1214,1214,87,87
1215,1215,94,64
1216,1216,70,70
1217,1217,88,62
1218,1218,69,56
1219,1219,100,83
1220,1220,84,80
1221,1221,99,83
1222,1222,99,82
1223,1223,82,82
1224,1224,95,95
1225,1225,95,90
1226,1226,81,81
1227,1227,88,88
1228,1228,86,81
1229,1229,94,94
1230,1230,94,82
1231,1231,99,87
1232,1232,98,94
1233,1233,73,41
1234,1234,42,42
1235,1235,42,42
1236,1236,43,43
1237,1237,59,53
1238,1238,43,43
1239,1239,68,40
1240,1240,77,69
1241,1241,68,36
1242,1242,52,52
1243,1243,50,42
1244,1244,63,40
1245,1245,72,45
1246,1246,50,50
1247,1247,81,81
1248,1248,94,84
1249,1249,84,81
1250,1250,80,80
1251,1251,80,80
1252,1252,98,96
1253,1253,82,82
1254,1254,97,83
1255,1255,86,76
1256,1256,91,76
1257,1257,98,94
1258,1258,81,78
1259,1259,89,89
1260,1260,98,92
1261,1261,82,82
1262,1262,82,82
1263,1263,95,79
1264,1264,90,90
1265,1265,86,86
1266,1266,100,91
1267,1267,99,84
1268,1268,88,88
1269,1269,84,84
1270,1270,100,90
1271,1271,99,82
1272,1272,80,78
1273,1273,83,81
1274,1274,93,76
1275,1275,100,81
1276,1276,82,82
1277,1277,80,78
1278,1278,98,94
1279,1279,86,85
1280,1280,95,90
1281,1281,95,79
1282,1282,97,85
1283,1283,81,81
1284,1284,90,90
1285,1285,90,86
1286,1286,80,80
1287,1287,85,85
1288,1288,83,83
1289,1289,72,72
1290,1290,71,71
1291,1291,90,57
1292,1292,79,79
1293,1293,81,64
1294,1294,88,88
1295,1295,89,61
1296,1296,86,63
1297,1297,77,77
1298,1298,66,60
1299,1299,68,68
1300,1300,65,65
1301,1301,71,67
1302,1302,89,83
1303,1303,65,65
1304,1304,82,75
1305,1305,90,73
1306,1306,74,74
1307,1307,65,65
1308,1308,77,58
1309,1309,87,83
1310,1310,91,67
1311,1311,82,60
1312,1312,79,63
1313,1313,87,84
1314,1314,85,84
1315,1315,69,69
1316,1316,87,76
1317,1317,91,90
1318,1318,91,91
1319,1319,92,78
1320,1320,89,89
1321,1321,87,87
1322,1322,95,87
1323,1323,98,88
1324,1324,90,90
1325,1325,82,82
1326,1326,99,89
1327,1327,94,80
1328,1328,99,78
1329,1329,92,85
1330,1330,82,81
1331,1331,84,84
1332,1332,92,92
1333,1333,90,84
1334,1334,89,88
1335,1335,82,82
1336,1336,92,79
1337,1337,97,76
1338,1338,91,78
1339,1339,87,87
1340,1340,90,87
1341,1341,86,86
1342,1342,97,87
1343,1343,93,79
1344,1344,84,79
1345,1345,95,95
1346,1346,82,79
1347,1347,94,94
1348,1348,94,91
1349,1349,92,86
1350,1350,80,80
1351,1351,96,83
1352,1352,91,76
1353,1353,91,78
1354,1354,82,79
1355,1355,88,88
1356,1356,99,77
1357,1357,82,82
1358,1358,89,89
1359,1359,72,65
1360,1360,62,53
1361,1361,78,54
1362,1362,43,43
1363,1363,58,36
1364,1364,72,39
1365,1365,48,48
1366,1366,47,46
1367,1367,68,58
1368,1368,55,55
1369,1369,42,42
1370,1370,78,44
1371,1371,66,59
1372,1372,50,48
1373,1373,68,58
1374,1374,74,74
1375,1375,82,69
1376,1376,80,71
1377,1377,65,65
1378,1378,86,75
1379,1379,66,61
1380,1380,95,82
1381,1381,73,73
1382,1382,73,73
1383,1383,72,67
1384,1384,70,70
1385,1385,91,59
1386,1386,68,68
1387,1387,80,80
1388,1388,86,86
1389,1389,83,77
1390,1390,100,93
1391,1391,83,80
1392,1392,82,82
1393,1393,93,93
1394,1394,85,77
1395,1395,92,85
1396,1396,88,80
1397,1397,86,86
1398,1398,83,79
1399,1399,99,95
1400,1400,88,78
1401,1401,79,56
1402,1402,85,55
1403,1403,73,64
1404,1404,83,55
1405,1405,80,80
1406,1406,89,59
1407,1407,95,85
1408,1408,76,76
1409,1409,85,60
1410,1410,89,73
1411,1411,66,66
1412,1412,77,61
1413,1413,67,67
1414,1414,71,56
1415,1415,80,79
1416,1416,74,74
1417,1417,79,56
1418,1418,90,57
1419,1419,79,64
1420,1420,67,57
1421,1421,65,65
1422,1422,72,63
1423,1423,93,74
1424,1424,84,65
1425,1425,91,61
1426,1426,84,69
1427,1427,75,75
1428,1428,91,68
1429,1429,75,59
1430,1430,78,65
1431,1431,79,70
1432,1432,68,68
1433,1433,80,60
1434,1434,67,67
1435,1435,89,85
1436,1436,85,72
1437,1437,85,85
1438,1438,89,86
1439,1439,86,78
1440,1440,99,86
1441,1441,96,82
1442,1442,86,83
1443,1443,84,84
1444,1444,95,80
1445,1445,81,81
1446,1446,90,84
1447,1447,94,66
1448,1448,81,62
1449,1449,79,75
1450,1450,93,75
1451,1451,72,61
1452,1452,71,71
1453,1453,83,83
1454,1454,71,71
1455,1455,100,86
1456,1456,84,76
1457,1457,84,78
1458,1458,85,85
1459,1459,85,85
1460,1460,98,92
1461,1461,96,90
1462,1462,95,89
1463,1463,87,82
1464,1464,95,64
1465,1465,78,57
1466,1466,89,87
1467,1467,80,61
1468,1468,82,55
1469,1469,71,63
1470,1470,67,56
1471,1471,87,84
1472,1472,65,65
1473,1473,91,91
1474,1474,100,77
1475,1475,96,76
1476,1476,99,92
1477,1477,82,82
1478,1478,81,81
1479,1479,81,78
1480,1480,81,81
1481,1481,82,82
1482,1482,80,68
1483,1483,75,75
1484,1484,78,72
1485,1485,79,79
1486,1486,80,73
1487,1487,86,59
1488,1488,67,60
1489,1489,95,59
1490,1490,87,64
1491,1491,89,88
1492,1492,84,84
1493,1493,100,75
1494,1494,87,87
1495,1495,90,90
1496,1496,98,96
1497,1497,94,89
1498,1498,89,80
1499,1499,91,84
1500,1500,84,65
1501,1501,70,64
1502,1502,75,63
1503,1503,71,57
1504,1504,69,69
1505,1505,82,74
1506,1506,94,86
1507,1507,94,75
1508,1508,82,82
1509,1509,98,96
1510,1510,94,85
1511,1511,81,79
1512,1512,80,80
1513,1513,91,77
1514,1514,86,86
1515,1515,88,81
1516,1516,94,94
1517,1517,96,87
1518,1518,81,81
1519,1519,93,86
1520,1520,91,86
1521,1521,97,77
1522,1522,93,89
1523,1523,93,88
1524,1524,82,79
1525,1525,96,85
1526,1526,92,77
1527,1527,82,82
1528,1528,69,67
1529,1529,82,82
1530,1530,91,74
1531,1531,72,56
1532,1532,74,74
1533,1533,74,74
1534,1534,85,70
1535,1535,80,59
1536,1536,56,56
1537,1537,63,63
1538,1538,56,45
1539,1539,69,43
1540,1540,63,61
1541,1541,43,43
1542,1542,44,44
1543,1543,46,45
1544,1544,59,52
1545,1545,49,35
1546,1546,71,61
1547,1547,46,46
1548,1548,52,52
1549,1549,73,69
1550,1550,47,47
1551,1551,48,36
1552,1552,63,43
1553,1553,78,68
1554,1554,83,82
1555,1555,87,84
1556,1556,82,82
1557,1557,82,75
1558,1558,81,81
1559,1559,96,93
1560,1560,88,76
1561,1561,83,78
1562,1562,86,80
1563,1563,88,88
1564,1564,96,94
1565,1565,83,83
1566,1566,86,84
1567,1567,80,78
1568,1568,95,86
1569,1569,83,80
1570,1570,93,81
1571,1571,90,78
1572,1572,87,73
1573,1573,75,75
1574,1574,84,74
1575,1575,72,72
1576,1576,71,59
1577,1577,95,78
1578,1578,80,61
1579,1579,86,60
1580,1580,87,61
1581,1581,99,87
1582,1582,95,83
1583,1583,98,83
1584,1584,92,86
1585,1585,92,90
1586,1586,94,78
1587,1587,87,87
1588,1588,81,77
1589,1589,85,85
1590,1590,89,59
1591,1591,80,80
1592,1592,80,80
1593,1593,92,56
1594,1594,78,62
1595,1595,77,77
